Country Name,Country Code,Series Name,Series Code,1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003]
Thailand,THA,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-1725783863.60194,-2303372617.88221,-1846887341.43789,-1966467656.32728,-1570956869.50906,-873410596.532849,-1182374911.55016,-1404634019.95282,-3314970532.2529,-7184691752.57408,-5756929984.63613,-3388964331.1761,-4639467176.90992,-3170876704.55484,-4609377096.03489
Thailand,THA,"Net trade in goods and services (BoP, current US$)",BN.GSR.GNFS.CD,-1963665351.97445,-6641008932.52669,-6756957091.15557,-5241280543.59087,-5698289716.85054,-7455697267.4551,-11954621688.6987,-12065858026.4771,-19674845.7576332,17395214641.7141,15065652623.4087,10108591963.0594,6957320198.09322,7714145387.54029,8804114241.14766
Thailand,THA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,12.1905059866109,11.1671634446293,8.5582603212423,8.08338802345332,8.25191591524627,7.99702466720433,8.12031534625378,5.65194446499471,-2.75357515314082,-7.63403528600102,4.57230775115542,4.45524704335014,3.44424900968372,6.14903605210036,7.18924330340971
Philippines,PHL,"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,11046000000,11430000000,12494000000,14566000000,16048000000,20251000000,26795000000,33490000000,40365000000,36973000000,23579000000,27461000000,24421000000,27044000000,29208000000
Philippines,PHL,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,11983000000,13967000000,13855000000,16827000000,20687000000,25987000000,33317000000,41314000000,50477000000,39631000000,31176000000,35302000000,32974000000,34576000000,37022000000
Philippines,PHL,Total reserves minus gold (current US$),FI.RES.XGLD.CD,1416962046.94194,924351453.24437,3245949362.74299,4403257950.96732,4675688643.55181,6038007451.96736,6396309730.47056,10058229068.0325,7297478735.0503,9274146439.95128,13269721427.4675,13090218236.0191,13476292198.9252,13329278364.983,13654873163.0659
Philippines,PHL,"Tariff rate, applied, simple mean, all products (%)",TM.TAX.MRCH.SM.AR.ZS,28.37,19.54,..,19.52,22.04,21.22,19.79,14.29,12.75,10.29,9.45,7.19,6.93,5.29,4.48
Philippines,PHL,"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,2.72444817497902,0.192925478606185,1.46989720173121,0.35174558854898,2.10728758025512,2.47572710694537,0.564798713149941,3.65085327541384,2.94128201281039,-6.97193819573447,9.64984190417779,3.38440363055821,3.86393512427318,3.60804252791922,4.57474865783733
Philippines,PHL,"Manufacturing, value added (annual % growth)",NV.IND.MANF.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,2.69279589611354,3.76230423999469,4.07261859328601
Philippines,PHL,"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,6.78000102463392,4.59834972230652,0.28993946140514,1.02673933103803,2.50681096674101,4.15338300730635,4.76377577887315,6.24466433352629,5.30444201715777,2.86142286008126,4.56645110307117,3.34805524304154,3.85047302505835,3.77193608174125,5.3066814302027
Philippines,PHL,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-563000000,-530000000,-544000000,-228000000,-864000000,-1289000000,-1079000000,-1335000000,-1086000000,-2127000000,-1114000000,-2115000000,-335000000,-1477000000,-188000000
Philippines,PHL,"Net trade in goods and services (BoP, current US$)",BN.GSR.GNFS.CD,-937000000,-2537000000,-1361000000,-2261000000,-4639000000,-5736000000,-6522000000,-7824000000,-10112000000,-2658000000,-7597000000,-7841000000,-8553000000,-7532000000,-7814000000
Philippines,PHL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.18391820283388,3.08267252855887,-0.436390080533428,0.417629066097945,2.181889985613,4.37366591819077,4.62522511739661,5.8603478716379,5.18641167406165,-0.514090599541888,3.34645118398267,4.38250483347254,3.04923150985866,3.71625500158383,5.08691113513073
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,
Last Updated: 12/18/2023,,,,,,,,,,,,,,,,,,
